1,453.0,13/02/2026 21:00:00
1,34.0,13/02/2026 21:00:02
2,43.0,13/02/2026 21:00:04
1,32.0,13/02/2026 21:01:31
1,43.0,13/02/2026 21:01:33
1,543.0,13/02/2026 21:01:34
1,543.0,13/02/2026 21:01:36
1,32.0,13/02/2026 21:01:37
2,43.0,13/02/2026 21:01:38
2,43.0,13/02/2026 21:01:40
2,300000.0,13/02/2026 21:10:51
2,1.3e-11,13/02/2026 21:11:06
2,0.004,13/02/2026 21:11:25
1,0.004,13/02/2026 21:11:35
1,0.396,13/02/2026 21:11:50
1,10.04,13/02/2026 21:12:10
2,30000.0,13/02/2026 21:12:21
1,1230.0,13/02/2026 21:12:32
1,123.0,13/02/2026 21:52:45
1,100.0,13/02/2026 23:06:27
2,50.0,13/02/2026 23:06:37
1,328000.0,13/02/2026 23:07:55
